"","Name","term","estimate","std.error","statistic","p.value","p_adj_BH"
"1","Perfluorooctanesulfonic acid","daysLeft",0.00540939829038745,0.000453028803982586,11.9405173420174,3.3670174585993e-31,8.68690504318619e-29
"2","C24:4","daysLeft",-0.00172404215885263,0.000206986513034496,-8.3292487688089,2.11472188747286e-16,1.9721065217646e-14
"3","Phosphoglycolic acid","daysLeft",-0.00479127681058758,0.000575935501329928,-8.31912045623816,2.29314711833093e-16,1.9721065217646e-14
"4","C24:2","daysLeft",-0.00183387100123231,0.000264769830784637,-6.92628384358478,6.89534591967147e-12,4.4474981181881e-10
"5","C20:5","daysLeft",0.00219990029245227,0.000333829794634275,6.58988600721623,6.47238541633462e-11,2.78312572902389e-09
"6","Neoabietic acid","daysLeft",0.00219990029245227,0.000333829794634275,6.58988600721623,6.47238541633462e-11,2.78312572902389e-09
"7","C21:3","daysLeft",0.00392019083764427,0.000599433362078108,6.53982758659578,8.95552917734554e-11,3.30075218250736e-09
"8","Acetylphosphate","daysLeft",-0.00361476766279684,0.000583211115748846,-6.19804315313067,7.74964521040835e-10,2.49926058035669e-08
"9","15-deoxy-delta-12-14-PGJ2","daysLeft",0.00290186612862303,0.00047868807096331,6.06212334220765,1.77610289615708e-09,3.75686852811539e-08
"10","hydroxyvaleric acid","daysLeft",-0.00151517957883044,0.000250378156919317,-6.0515645512907,1.89299576998062e-09,3.75686852811539e-08
"11","2-Hydroxyvaleric acid","daysLeft",-0.00178320549095316,0.00029310372489596,-6.08387181563839,1.55709484345038e-09,3.75686852811539e-08
"12","2-Hydroxy-3-methylbutyric acid","daysLeft",-0.00178782838697136,0.000294192640206859,-6.07706700519179,1.6226213554489e-09,3.75686852811539e-08
"13","LysoPE(22:5)","daysLeft",-0.00228922557793847,0.0003782029573309,-6.05290237309161,1.87778006151356e-09,3.75686852811539e-08
"14","PG(16:0/18:2)","daysLeft",0.0049765879224634,0.000834667659955729,5.9623586263392,3.23066848862888e-09,5.95366050047322e-08
"15","D-Ribose 5-phosphate","daysLeft",-0.0047694798292381,0.000803271963637728,-5.93756541388404,3.74338243419854e-09,6.43861778682149e-08
"16","C21:5","daysLeft",0.00679670773149438,0.00115817879254237,5.86844429828891,5.62795803850822e-09,9.0750823370945e-08
"17","PC (C16:1/C18:1)","daysLeft",-0.00421628402217242,0.000732388096938296,-5.7568986167284,1.0769835571784e-08,1.6344809279531e-07
"18","C24:5","daysLeft",-0.00130571155318751,0.000236684491514424,-5.51667557444478,4.1950332636543e-08,6.01288101123784e-07
"19","C24:1","daysLeft",-0.00110782306212195,0.000201377891708104,-5.50121491850621,4.57055323193653e-08,6.20633017810329e-07
"20","4-Acetamidobutanoic acid","daysLeft",-0.00224934707507324,0.00041435659846061,-5.42852963710451,6.81960872025463e-08,8.37837642774141e-07
"21","N-Butyrylglycine","daysLeft",-0.00224934707507323,0.000414196284002388,-5.43063074670236,6.74162759134103e-08,8.37837642774141e-07
"22","Cholic acid","daysLeft",-0.00603047577182019,0.00112594961234567,-5.35590199214778,1.01237999006327e-07,1.18724562471056e-06
"23","Corchoionol C 9-glucoside","daysLeft",-0.00218784216807659,0.00041918672867903,-5.21925437613703,2.10165611023593e-07,2.357509897569e-06
"24","L-Glutamine","daysLeft",-0.00216728900763116,0.000431889360308592,-5.01815790526212,5.97078286325077e-07,6.41859157799458e-06
"25","2-hydroxy-b-methylvalerate","daysLeft",-0.00159386401023202,0.000324305909064027,-4.91469308971901,1.00723481932969e-06,1.03946633354824e-05
