"","Name","term","estimate","std.error","statistic","p.value","p_adj_BH"
"1","C15:2","Timepoint:SexM",-0.28796021034681,0.0235932990100022,-12.2051693671466,1.5974450242789e-27,8.24281632527914e-25
"2","15-deoxy-delta-12-14-PGJ2","Timepoint:SexM",0.262364143380525,0.0347156807800796,7.55751111558422,6.58791006067131e-13,1.6996807956532e-10
"3","Perfluorooctanesulfonic acid","Timepoint:SexM",0.123659013151126,0.0200406396042233,6.17041250145863,2.51569776459043e-09,3.24525011632166e-07
"4","PE(16:0/22:6)","Timepoint:SexM",-0.238523388315662,0.0406399392266644,-5.86918663892007,1.2945006370323e-08,1.33592465741733e-06
"5","Capryloylglycine","Timepoint:SexM",-0.131582791509652,0.0231023457979777,-5.69564634952223,3.23819793509619e-08,2.78485022418272e-06
"6","PE(38:6)","Timepoint:SexM",-0.219736628846416,0.0421694276376329,-5.21080415733029,3.76564056730742e-07,2.77581504675804e-05
"7","gamma-D-Glutamylglycine","Timepoint:SexM",0.150051723361628,0.0292955409692539,5.12199872052575,5.79826479358748e-07,3.73988079186393e-05
"8","PE(16:0/20:4)","Timepoint:SexM",-0.232735404924409,0.046334546809387,-5.02293474201541,9.3224060270253e-07,5.34484612216117e-05
"9","All-trans-retinoic acid","Timepoint:SexM",0.20911209338458,0.0429624157666312,4.86732623510888,1.93757737800003e-06,9.99789927048016e-05
"10","C14:2","Timepoint:SexM",-0.0784014405660578,0.0162412696810396,-4.82729750233661,2.33212906596011e-06,0.000109398054366856
"11","PC (C16:1/C18:1)","Timepoint:SexM",-0.283231054668801,0.0591607338332427,-4.7874837973976,2.80095870447234e-06,0.00012044122429231
"12","Carnosic acid","Timepoint:SexM",0.144433443521447,0.0305341006755276,4.73023407685319,3.63756402260482e-06,0.000144383310435699
"13","PE(38:4)","Timepoint:SexM",-0.149055362815837,0.0320043008108054,-4.65735413802612,5.05563884734548e-06,0.000186336403230734
"14","PE(20:4/16:0)","Timepoint:SexM",-0.221566597037782,0.0480049704682771,-4.61549283077258,6.09699736132873e-06,0.000209736709229708
"15","PE(18:1/20:4)","Timepoint:SexM",-0.174094776444423,0.0388941229518874,-4.47612038095784,1.12669972208103e-05,0.000363360660371131
"16","C22:1","Timepoint:SexM",-0.0820421108988358,0.0190329246129922,-4.31053621905444,2.29265116055209e-05,0.000695887058144045
"17","C22:2","Timepoint:SexM",-0.07682647785776,0.0185948551686556,-4.13159861482881,4.82454634638749e-05,0.00131024521828208
"18","1H-Indole-3-acetamide","Timepoint:SexM",-0.1067530833306,0.0258263560290424,-4.13349383128435,4.7873006408392e-05,0.00131024521828208
"19","C20:4","Timepoint:SexM",0.0925906529136742,0.0228742247750876,4.04781599481855,6.77690803577396e-05,0.00174844227322968
"20","equol sulfate","Timepoint:SexM",0.189316724989024,0.0470532596335555,4.02345611044585,7.4729357419832e-05,0.00183620706803016
"21","PC(15:1/22:6)","Timepoint:SexM",-0.231866786814861,0.0580393319665954,-3.99499406623619,8.3722952327108e-05,0.0019636837909449
"22","C24:1","Timepoint:SexM",-0.0692172633865356,0.0175462340229584,-3.94485011974468,0.000102122209006749,0.0022910895585862
"23","PE(36:4)","Timepoint:SexM",-0.179044128906009,0.0457836569048159,-3.91065591982399,0.000116804306778182,0.00251129259573092
"24","C20:5","Timepoint:SexM",0.0871523949582883,0.0226562739854617,3.84672232575458,0.000149780888207292,0.00286247919685046
"25","Neoabietic acid","Timepoint:SexM",0.0871523949582883,0.0226562739854617,3.84672232575458,0.000149780888207292,0.00286247919685046
"26","Indole-3-propionic acid","Timepoint:SexM",-0.120607447063174,0.0312149210646892,-3.86377549420129,0.000140212827919395,0.00286247919685046
"27","DAG(39:5)","Timepoint:SexM",-0.338283930794608,0.088735031917096,-3.81229288462602,0.000171013616853164,0.00304286297573215
"28","PE(P-38:6)","Timepoint:SexM",-0.126343198913695,0.0331133863451722,-3.81547201475258,0.00016893965532589,0.00304286297573215
"29","glycero-3-Phosphoethanolamine","Timepoint:SexM",0.126585882580408,0.0332882173476514,3.80272338582706,0.000177402754881576,0.0030513273839631
"30","C20:1","Timepoint:SexM",-0.0675232879253499,0.0179361263249669,-3.76465278522031,0.000205125433715895,0.00330764761866881
"31","Glycerylphosphorylethanolamine","Timepoint:SexM",0.125627101957192,0.0333411524232713,3.76792920539564,0.000202587342865108,0.00330764761866881
"32","Galactose","Timepoint:SexM",-0.141706691916312,0.0378638015949586,-3.74253735618507,0.00022305909915572,0.00348783318679853
"33","Phosphoglycolic acid","Timepoint:SexM",-0.148282737544659,0.0407356411634392,-3.64012283370525,0.000327164537423716,0.00496520297972463
"34","hydroxyvaleric acid","Timepoint:SexM",-0.0645348528779455,0.0182799483170954,-3.53036298344414,0.000488617370907081,0.00720361609680154
"35","Carnosine","Timepoint:SexM",-0.0920365393217345,0.0263096944834091,-3.49819871073656,0.000548548801409157,0.00786253282019791
"36","PE(36:2)","Timepoint:SexM",-0.0939101257582795,0.0271142232898542,-3.46350049397946,0.000620884751964081,0.00865882518955313
"37","6-Deoxohomodolichosterone","SexM",1.46535349369829,0.451173839956951,3.24786892306989,0.00131147011345181,0.0169179644635283
"38","PE(18:1/22:6)","Timepoint:SexM",-0.209834875638264,0.0645565135368855,-3.2504059488648,0.00130027063438171,0.0169179644635283
"39","PE(36:3)","Timepoint:SexM",-0.136604320653126,0.0418970773421921,-3.26047374468194,0.00125669656944018,0.0169179644635283
"40","C22:3","Timepoint:SexM",-0.0673735696473068,0.0208663585582854,-3.22881299384912,0.00139849590967358,0.0171000818683561
"41","C22:4","Timepoint:SexM",-0.0469469601891014,0.0145760811679016,-3.22082181406101,0.00143655989682432,0.0171000818683561
"42","2-keto-isovalerate","SexM",0.623611356596463,0.193886293009974,3.21637670675555,0.00145814651590633,0.0171000818683561
"43","Alpha-ketoisovaleric acid","SexM",0.623611356596463,0.193886293009974,3.21637670675555,0.00145814651590633,0.0171000818683561
"44","Ceramide (d18:1/16:0)","Timepoint:SexM",-0.210247418837192,0.0657722121252302,-3.19659947633936,0.00155788340900873,0.0175297415633738
"45","Aminoadipic acid","Timepoint:SexM",-0.0524816801388009,0.0164227531865678,-3.19566881037497,0.00156272889906046,0.0175297415633738
"46","PE(18:2/18:1)","Timepoint:SexM",-0.134965476994107,0.0426855146807305,-3.16185661584712,0.00174852921116729,0.0191966185736664
"47","Hydrocinnamic acid","SexM",0.805566910360697,0.257266351012261,3.13125640874156,0.00193407912326711,0.0203293595377229
"48","2-Phenylpropionate","SexM",0.805566910360697,0.257266351012261,3.13125640874156,0.00193407912326711,0.0203293595377229
"49","N-Lauroylglycine","Timepoint:SexM",0.17615912602306,0.0563589584982805,3.1256632612974,0.0019698991800119,0.0203293595377229
"50","PE(P-38:5)","Timepoint:SexM",-0.116977351921012,0.0379287493265666,-3.0841341725728,0.00225563122077781,0.0228216805866931
"51","L-Glutamine","Timepoint:SexM",-0.0892785230970964,0.0290514829788342,-3.07311413885967,0.0023376174232603,0.0231963575077369
"52","PG(18:1/16:0)","Timepoint:SexM",-0.107542550605553,0.0357469188175087,-3.00844252212528,0.0028766464164693,0.0280065952999653
"53","Hydroxyoctanoic acid","SexM",0.781954777088871,0.261516720686284,2.99007564425261,0.00304932729823279,0.0288986349047655
"54","PC(18:2/15:0)","Timepoint:SexM",-0.0705319365826524,0.0236138808654201,-2.98688457795764,0.00308028085225214,0.0288986349047655
"55","Propenoyl carnitine C3:1","SexM",-1.3003711416099,0.436355681856033,-2.98007152348466,0.00314733443718723,0.0290004387426538
"56","Hydrocinnamic acid","Timepoint:SexM",0.0666080254305948,0.0225865457006992,2.9490133778417,0.00347028790024646,0.0308735958021927
"57","2-Phenylpropionate","Timepoint:SexM",0.0666080254305948,0.0225865457006992,2.9490133778417,0.00347028790024646,0.0308735958021927
"58","Prostaglandin E2","Timepoint:SexM",0.0936742620616767,0.0319548031670081,2.93146108809054,0.00366594778732268,0.0320615094620085
"59","Homocarnosine","Timepoint:SexM",-0.0611733175641733,0.021348893780843,-2.86540924284639,0.00449602767479239,0.0386658380032145
"60","Anserine","Timepoint:SexM",-0.0612112387431451,0.0214520325483642,-2.85340042278711,0.00466418083053828,0.0394543821075041
"61","PE(18:1/16:0)","Timepoint:SexM",-0.143805572187055,0.0504947201282747,-2.8479328496472,0.00474262094821196,0.0394708453109253
"62","PG (34:1)","Timepoint:SexM",-0.0994090271869074,0.0351756612436921,-2.82607415673626,0.00506835437544174,0.0415122358369514
"63","12-Hydroxystearic acid","Timepoint:SexM",0.0332166602966269,0.0118683186867368,2.79876713571465,0.00550380121026613,0.0443743972577707
"64","D-Ribose 5-phosphate","Timepoint:SexM",-0.168002155106525,0.0603291845701902,-2.78475759789298,0.00574013819103798,0.0455678662550092
"65","Prenylbenzoquinone","SexM",0.567274165839071,0.204468633165681,2.77438234440296,0.00592105691091783,0.0456009756124418
"66","PE(18:0/18:2)","Timepoint:SexM",-0.0688802152055522,0.0248268998190093,-2.77441870341026,0.00592041397681103,0.0456009756124418
