"","Name","term","estimate","std.error","statistic","p.value","p_adj_BH"
"1","Perfluorooctanesulfonic acid","Timepoint",-0.27236274213466,0.0097602800632986,-27.9052179208279,2.91715822943162e-81,7.52626823193358e-79
"2","C24:4","Timepoint",0.0926319185142155,0.00713686299096081,12.9793606282674,3.22600591998376e-30,4.16154763677906e-28
"3","C21:5","Timepoint",-0.363830713059676,0.0313239579654974,-11.6150938990669,1.56327554671358e-25,1.34441697017368e-23
"4","2-Hydroxyvaleric acid","Timepoint",0.0972002592126563,0.010964489714482,8.86500528011563,1.0948867096402e-16,7.0620192771793e-15
"5","2-Hydroxy-3-methylbutyric acid","Timepoint",0.097472894651756,0.0112370106080198,8.67427272714243,4.08241610630138e-16,2.10652671085151e-14
"6","Taurodeoxycholic acid","Timepoint",0.198532132579345,0.0230244091640372,8.62268087597406,5.81265916414975e-16,2.49944344058439e-14
"7","2-hydroxy-b-methylvalerate","Timepoint",0.0877318242876755,0.0105198293984548,8.33966226681979,3.95600154776137e-15,1.45806914188919e-13
"8","palmitoleic acid","Timepoint",-0.0554931704660013,0.00678390193803936,-8.18012568177534,1.14782121006143e-14,2.96137872195848e-13
"9","C16:1","Timepoint",-0.0554931704660013,0.00678390193803936,-8.18012568177534,1.14782121006143e-14,2.96137872195848e-13
"10","Hydroxyisocaproic acid","Timepoint",0.0879417272464981,0.0107454173985747,8.18411458434019,1.11781367204362e-14,2.96137872195848e-13
"11","2-Hydroxycaproic acid","Timepoint",0.0665401339973618,0.00824209996544879,8.07320152343464,2.32842007847054e-14,5.46120345677637e-13
"12","Ethyl-3-hydroxybutyrate","Timepoint",0.066386290352127,0.00825104006624251,8.04580874885499,2.7885760081484e-14,5.99543841751906e-13
"13","Cortisol","Timepoint",0.154229877898428,0.0216601651810404,7.12043867668324,9.89180330674242e-12,1.96314250241503e-10
"14","C14:0(Myristic acid)","Timepoint",-0.047306749701764,0.00668761539668756,-7.07378443521073,1.31408865010159e-11,2.26023247817473e-10
"15","N-Acetyl-L-phenylalanine","Timepoint",0.0782585666807407,0.0111556987179381,7.01512013361413,1.87490369742912e-11,2.84544208198067e-10
"16","LysoPE(22:5)","Timepoint",0.104956972787994,0.0149511649285324,7.01998628800465,1.82056954196765e-11,2.84544208198067e-10
"17","C26:4","Timepoint",0.16537483140308,0.0241506023241991,6.84764831879049,5.11648975067437e-11,6.9476545035473e-10
"18","C24:2","Timepoint",0.0725590460908787,0.0105959227680889,6.84782700657282,5.11105585328603e-11,6.9476545035473e-10
"19","C26:5","Timepoint",0.122228233692558,0.0179404194443377,6.81300869646809,6.28465838807479e-11,7.72115173392045e-10
"20","C15:2","Timepoint",-0.0914696494626131,0.0134173201324886,-6.8172815852496,6.1274728577556e-11,7.72115173392045e-10
"21","Cinnamoylglycine","Timepoint",0.0946921277879855,0.0139184221661963,6.80336654954786,6.65407799322136e-11,7.80341873750505e-10
"22","hydroxyvaleric acid","Timepoint",0.0578627170250318,0.00852090241573476,6.79067946115449,7.17285554796938e-11,8.04607274511348e-10
"23","Ribothymidine","Timepoint",0.0810472222430755,0.0119744497926249,6.76834624109349,8.18440036003932e-11,8.79823038704227e-10
"24","Tyrosol 4-sulfate","Timepoint",0.12937719525059,0.0192412658555589,6.72394405969978,1.0629747567392e-10,1.0547980278412e-09
"25","N-acetyl-phe","Timepoint",0.0784527497250025,0.0116641556105992,6.72596905803558,1.05040299817636e-10,1.0547980278412e-09
"26","C17:2","Timepoint",-0.0462622028421255,0.00702939848921475,-6.58124630622463,2.44333375083382e-10,2.33474113968565e-09
"27","3,4-Dihydroxyphenylglycol O-sulfate","Timepoint",0.111113339255719,0.0179228242253795,6.19954410412495,2.13082007496237e-09,1.9633984976439e-08
"28","C20:5","Timepoint",-0.0654816708274286,0.010604861253602,-6.17468435102698,2.44592452579645e-09,2.10349509218495e-08
"29","Neoabietic acid","Timepoint",-0.0654816708274286,0.010604861253602,-6.17468435102698,2.44592452579645e-09,2.10349509218495e-08
"30","Phenylpropionylglycine","Timepoint",0.0588413906222997,0.00964499462147821,6.10071782634976,3.67832508577884e-09,3.06131571655142e-08
"31","C22:6","Timepoint",-0.0523190857165103,0.00869071648856188,-6.02011189587982,5.71526993042905e-09,4.60793638140842e-08
"32","C24:5","Timepoint",0.0527137574021261,0.00883390743713038,5.96720735159183,7.61487925304936e-09,5.95345105238405e-08
"33","Indolelactic acid","Timepoint",0.115227472994998,0.0194070978740578,5.93738815266281,8.94458739226773e-09,6.78736337413257e-08
"34","Prostaglandin E2","Timepoint",0.0866380024176698,0.0147917212431709,5.85719545368455,1.37494283120492e-08,1.01352928700248e-07
"35","Cholic acid","Timepoint",0.155203096944578,0.026674078988101,5.81849881354152,1.68939690402539e-08,1.21073444788486e-07
"36","Palmitoyl Serinol","Timepoint",0.0492031488367424,0.00878013471397672,5.60391730190859,5.19855076489416e-08,3.62493539822349e-07
"37","PG (34:1)","Timepoint",-0.0908326836874909,0.0162647061383181,-5.5846495420841,5.74190978648234e-08,3.89845453924327e-07
"38","Palmitic amide","Timepoint",0.04921923271134,0.00883007951741403,5.57404184348209,6.06427315470521e-08,4.01174993311268e-07
"39","C24:6","Timepoint",-0.0492390605768819,0.00897651363546435,-5.48532120336213,9.54735076575015e-08,6.06726934256507e-07
"40","LysoPE(18:2)","Timepoint",0.0478615208418931,0.00872846195749978,5.48338539767238,9.64178461415379e-08,6.06726934256507e-07
"41","Sulfate","Timepoint",0.0395279239885628,0.00721954484407096,5.47512687327167,1.00549731086442e-07,6.17662633816717e-07
"42","Citric acid","Timepoint",0.0538227574479173,0.00991117929833434,5.43050991489607,1.26032100981682e-07,7.56192605890092e-07
"43","Octadecanamide","Timepoint",0.0499124479647714,0.00922749403425711,5.40910108199163,1.40391655829986e-07,8.23205618275828e-07
"44","C22:4","Timepoint",0.0353777662667391,0.00676895337534328,5.22647509962276,3.4788776416434e-07,1.99455651454222e-06
"45","PE(38:4)","Timepoint",0.0783203583071837,0.0151625776101443,5.16537229493123,4.6883627198691e-07,2.62955996027441e-06
"46","Cholesterol sulfate","Timepoint",-0.048509293828121,0.00946945556874636,-5.1227120161189,5.76512611151998e-07,3.16468624845139e-06
"47","N-Glycolylneuraminic acid","Timepoint",0.0908614798227477,0.0177922321586885,5.10680610574076,6.22503577983211e-07,3.34595673165976e-06
"48","C24:1","Timepoint",0.0411363185488391,0.00822410761288347,5.00191880811446,1.02795449935024e-06,5.41249511902781e-06
"49","Citraconic acid","Timepoint",0.0691614249105754,0.0141084077476869,4.90214247755312,1.64432045477963e-06,8.31832700653224e-06
"50","Glutaconic acid","Timepoint",0.0691614249105754,0.0141084077476869,4.90214247755312,1.64432045477963e-06,8.31832700653224e-06
