"","Name","term","estimate","std.error","statistic","p.value","p_adj_BH"
"1","gamma-D-Glutamylglycine","Timepoint:DietMetR:SexM",-0.267140929585824,0.0382434352867104,-6.98527544879463,4.46206237201593e-12,9.20969673584087e-09
"2","DAG(15:1/22:4)","Timepoint:DietMetR:SexM",0.468248486271803,0.0771064497689837,6.0727538056117,1.63430364867166e-09,1.68660136542916e-06
"3","Glutamylserine","Timepoint:DietMetR:SexM",-0.204995592552702,0.0356957562917273,-5.74285612209345,1.15002602280574e-08,7.91217903690347e-06
"4","15-deoxy-delta-12-14-PGJ2","Timepoint:DietPF:SexM",-0.274819446718395,0.0507522023041865,-5.41492653010894,7.25686567458378e-08,3.74454268808523e-05
"5","Phenol sulphate","Timepoint:DietZGN201:SexM",0.635003711725403,0.123616431850702,5.1368875659858,3.20541428810334e-07,0.000132319501812906
"6","Perfluorooctanesulfonic acid","Timepoint:DietMetR:SexM",-0.149098915368786,0.0294956842082763,-5.05494004871905,4.90001212554818e-07,0.000168560417118857
"7","PE(22:6/16:0)","Timepoint:DietZGN201:SexM",0.326448919961501,0.0662756463370613,4.9256240867311,9.4545103395361e-07,0.000278772990582893
"8","Propenoyl carnitine C3:1","Timepoint:DietMetR:SexM",-0.179631444752425,0.0383757822687531,-4.68085428186011,3.14602564756027e-06,0.00081167461707055
"9","C15:2","Timepoint:DietZGN1062:SexM",0.1701510735302,0.0369464145096102,4.605347387253,4.50841559042535e-06,0.00103392997540421
"10","PE(38:6)","Timepoint:DietZGN201:SexM",0.307778202775772,0.0685287305024285,4.49122872289112,7.68934871726594e-06,0.00158708157524369
"11","Glutaminylglutamic acid","Timepoint:DietMetR:SexM",-0.140209009059093,0.032079541439945,-4.37066749602933,1.33418238721012e-05,0.0025034113156379
"12","Hyodeoxycholic acid","Timepoint:DietPF:SexM",-0.225947665267312,0.055491404047201,-4.07175974634055,4.93863741936434e-05,0.00646101808357691
"13","Chenodeoxycholic acid","Timepoint:DietPF:SexM",-0.225969807245619,0.0555420613161955,-4.06844474062991,5.00854115005962e-05,0.00646101808357691
"14","PE(16:0/22:6)","Timepoint:DietZGN201:SexM",0.267596818199728,0.0655623251922659,4.08156387704344,4.73727533400758e-05,0.00646101808357691
"15","Glycine","Timepoint:DietMetR:SexM",-0.124905803840272,0.0306520209848159,-4.07496144877841,4.87200262430896e-05,0.00646101808357691
"16","gamma-D-Glutamylglycine","Timepoint:DietZGN1062:SexM",-0.155957797038075,0.0381251286457314,-4.09068251250444,4.55700772053067e-05,0.00646101808357691
"17","C22:3","Timepoint:DietZGN1062:SexM",0.103009280831825,0.0256274921559093,4.01948345960463,6.15681920054867e-05,0.00747510284113674
"18","Anserine","Timepoint:DietMetR:SexM",-0.114956350127431,0.0296700294565658,-3.87449396690747,0.000112000712626862,0.0121668142558865
"19","Homocarnosine","Timepoint:DietMetR:SexM",-0.115051815110324,0.0296699822221071,-3.87771769625798,0.000110543687431157,0.0121668142558865
"20","PE(16:0/20:4)","Timepoint:DietZGN201:SexM",0.249060958104482,0.0668082462427062,3.72799724752053,0.000201039205337891,0.0198571742894861
"21","Galactose","Timepoint:DietPF:SexM",0.210937982546324,0.0566012330864707,3.72673828897102,0.000202035203526748,0.0198571742894861
"22","All-trans-retinoic acid","Timepoint:DietPF:SexM",-0.202637648467714,0.0546866862067032,-3.70542928313099,0.000219613589867652,0.020603747703947
"23","C18:4","Timepoint:DietZGN201:SexM",-0.106925520910612,0.0290626921323117,-3.67913338598572,0.000243288457743068,0.0209545922406247
"24","15-deoxy-delta-12-14-PGJ2","Timepoint:DietZGN1062:SexM",-0.17428493993069,0.0473762301519225,-3.67874225897262,0.000243658049309589,0.0209545922406247
"25","1H-Indole-3-acetamide","Timepoint:DietMetR:SexM",0.121161147613571,0.0332766524834045,3.64102572138216,0.000281881908740411,0.0223770869092388
"26","PE(18:0/18:2)","Timepoint:DietMetR:SexM",-0.0985955780832023,0.0270307020767042,-3.64754040806712,0.000274901013400202,0.0223770869092388
"27","PC (C16:1/C18:1)","Timepoint:DietZGN201:SexM",0.337341907292356,0.0932474143647869,3.61770789667865,0.00030825500052917,0.0233959014750604
"28","gamma-D-Glutamylglycine","Timepoint:DietPF:SexM",-0.147441996597442,0.0408418786318897,-3.61006891789542,0.000317386260320587,0.0233959014750604
"29","PC(18:2/15:0)","Timepoint:DietMetR:SexM",-0.0967416567297619,0.0269788638848669,-3.58583138054329,0.000348064817142669,0.0247726131924989
"30","Glycine","Timepoint:DietPF:SexM",-0.116403249486848,0.0327346670480468,-3.55596253097659,0.000389691513594531,0.0268107761353038
"31","PE(22:6/16:0)","Timepoint:DietZGN1062:SexM",0.176179629566911,0.0496810093646156,3.54621679028106,0.000404251789490199,0.0269153449518635
"32","C20:1","Timepoint:DietPF:SexM",0.0804377313431732,0.0227549426900204,3.53495644611975,0.000421707947950351,0.0272001626427977
"33","All-trans-retinoic acid","Timepoint:DietZGN1062:SexM",-0.179163983659681,0.0510489971734886,-3.50964746772198,0.000463546931716579,0.0272430380512203
"34","4-Acetamidobutanoic acid","Timepoint:DietMetR:SexM",-0.142485985178127,0.0406754642141589,-3.50299591979895,0.000475169268335237,0.0272430380512203
"35","N-Butyrylglycine","Timepoint:DietMetR:SexM",-0.142365583098456,0.0406263547472859,-3.50426672498759,0.000472927956593745,0.0272430380512203
"36","Glu-Ala","Timepoint:DietMetR:SexM",-0.124384680115611,0.0352842737220764,-3.52521582547939,0.0004373740985744,0.0272430380512203
"37","Hydroxytyrosol 4'-sulfate","Timepoint:DietMetR:SexM",-0.152196426508319,0.043872727359634,-3.4690441116353,0.000538852288741201,0.0300592195665362
"38","Linoleic acid","Timepoint:DietMetR:SexM",-0.0589311716278774,0.0172832932624767,-3.40971889632986,0.00066959491693612,0.0363695765409513
"39","Carnosic acid","Timepoint:DietPF:SexM",-0.148336548835721,0.0436377538297821,-3.39927094814132,0.000695476230797823,0.0368067420606848
"40","LysoPE(16:0)","Timepoint:DietZGN1062:SexM",0.242073083670186,0.0714151531033899,3.38965994121345,0.000720103298867442,0.03715733022156
