"","Name","term","estimate","std.error","statistic","p.value","p_adj_BH"
"1","C16:2","Timepoint:DietPF",-0.0601298622950243,0.00835453627613497,-7.19727107616821,1.01569941260016e-12,1.54894072457737e-09
"2","Citric acid","Timepoint:DietZGN1062",-0.073790686950629,0.0102865189528738,-7.1735333681579,1.20072924385843e-12,1.54894072457737e-09
"3","Citric acid","Timepoint:DietZGN201",-0.0827458147862177,0.0121523244502815,-6.80905246767838,1.47386869708975e-11,1.26752707949719e-08
"4","LysoPE(22:4)","Timepoint:DietMetR",-0.0903321094212171,0.0142179380855113,-6.3533902650251,2.87224144650998e-10,1.85259573299894e-07
"5","Taurodeoxycholic acid","Timepoint:DietMetR",-0.19367975073472,0.0308390497675972,-6.28034106738985,4.54492577286908e-10,2.34518169880045e-07
"6","LysoPE(18:1(9Z)/0:0)","Timepoint:DietZGN201",-0.091221254353024,0.0146915179849931,-6.20911021217847,7.07745565224452e-10,3.04330593046514e-07
"7","N-Glycolylneuraminic acid","Timepoint:DietZGN1062",-0.124164122311596,0.0208949018711621,-5.94231660321697,3.57084212844797e-09,1.31611038448511e-06
"8","C24:4","Timepoint:DietMetR",-0.0517759772328376,0.00909567089343032,-5.69237583895375,1.53473094438335e-08,4.94950729563629e-06
"9","C22:4","Timepoint:DietMetR",-0.0465263234832439,0.00841671664639236,-5.5278471924306,3.88608642589295e-08,1.11401144208931e-05
"10","PG(18:2/18:2)","Timepoint:DietMetR",-0.195259245848821,0.0361088388356682,-5.40751938154113,7.54837091582416e-08,1.62289974690219e-05
"11","C24:5","Timepoint:DietMetR",-0.0585743389786241,0.0108096880769021,-5.41868910202733,7.10113120828043e-08,1.62289974690219e-05
"12","C19:1","Timepoint:DietPF",-0.0379959305238821,0.00698589379049065,-5.43895049987776,6.35456051426942e-08,1.62289974690219e-05
"13","PG(20:4/18:1)","Timepoint:DietMetR",-0.161403392089738,0.030177448015657,-5.34847718090664,1.04051489418448e-07,1.91752030499711e-05
"14","C17:2","Timepoint:DietZGN201",0.0548954428976968,0.0102513681006697,5.35493822469517,1.00475733472134e-07,1.91752030499711e-05
"15","Citraconic acid","Timepoint:DietZGN201",-0.082000584579129,0.0155873130113292,-5.26072611228947,1.66679069309772e-07,2.68769999262007e-05
"16","Glutaconic acid","Timepoint:DietZGN201",-0.082000584579129,0.0155873130113292,-5.26072611228947,1.66679069309772e-07,2.68769999262007e-05
"17","PG(16:0/18:2)","Timepoint:DietMetR",-0.187641406555726,0.0369970869755367,-5.07178867027554,4.48894713716842e-07,6.81263741993795e-05
"18","lysoPS(22:0)","Timepoint:DietMetR",-0.0902944668182837,0.0178824722936216,-5.04932793048367,5.03911405147611e-07,7.22273014044909e-05
"19","C22:4","Timepoint:DietPF",-0.0441428893285499,0.00877324827552301,-5.03153312687009,5.52066702260405e-07,7.49648469385182e-05
"20","I(-)","Timepoint:DietMetR",0.096900068717128,0.0193676621202987,5.00318872330852,6.38070544901777e-07,8.23111002923292e-05
"21","Citraconic acid","Timepoint:DietZGN1062",-0.0651079730380822,0.0131941170079359,-4.93462146795587,9.02934138995092e-07,0.000105889549027606
"22","Glutaconic acid","Timepoint:DietZGN1062",-0.0651079730380822,0.0131941170079359,-4.93462146795587,9.02934138995092e-07,0.000105889549027606
"23","5-L-Glutamyl-taurine","Timepoint:DietMetR",-0.0983555720540327,0.0201805460250697,-4.87378150877823,1.22430244603079e-06,0.000137334796119976
"24","C17:2","Timepoint:DietZGN1062",0.041828444463154,0.00867742568031764,4.82037484435394,1.59497755731668e-06,0.000171460087411543
"25","PG(18:1/22:6)","Timepoint:DietMetR",-0.111846699067587,0.0236255632138472,-4.73413895174497,2.43129386991211e-06,0.000235626096339409
"26","C24:4","Timepoint:DietPF",-0.044716600940373,0.00948096298509897,-4.71646192593022,2.64851038521042e-06,0.000235626096339409
"27","Prostaglandin E2","Timepoint:DietZGN1062",-0.0834760670408871,0.0176789837814555,-4.72176840438364,2.5814182221667e-06,0.000235626096339409
"28","N-Acetyl-L-phenylalanine","Timepoint:DietZGN201",-0.0789371342765366,0.0166699985889451,-4.73528140121648,2.41786079748642e-06,0.000235626096339409
"29","N-acetyl-phe","Timepoint:DietZGN201",-0.0795410535310823,0.0168407265433695,-4.72313669640335,2.56438495011216e-06,0.000235626096339409
"30","LysoPE(P-16:0)","Timepoint:DietZGN1062",-0.0639217187177672,0.0136197380962198,-4.693314824865,2.96127268834267e-06,0.00025466945119747
"31","PG(18:2/22:6)","Timepoint:DietMetR",-0.12364322961517,0.0265634934490921,-4.65462985326561,3.56467898779607e-06,0.000296673283500447
"32","C18:4","Timepoint:DietMetR",0.0470444992304662,0.0101573243437874,4.63158383430379,3.97849963800827e-06,0.000320766533314416
"33","PG(18:0/18:2)","Timepoint:DietMetR",-0.113792331377818,0.0246500732981436,-4.61630803290095,4.27779136131254e-06,0.000334445506429889
"34","C26:4","Timepoint:DietMetR",-0.129447642805051,0.0282557796797199,-4.58128015833729,5.04777765671996e-06,0.000375898910937961
"35","PG(18:2(9Z,12Z)/18:0)","Timepoint:DietMetR",-0.113784283040092,0.0248485104465829,-4.57911886850101,5.09940383055373e-06,0.000375898910937961
"36","PG(18:2/18:0)","Timepoint:DietMetR",-0.113846782573751,0.0249320488994824,-4.56628266023154,5.41660665558607e-06,0.000388190143650335
"37","C22:5","Timepoint:DietPF",-0.054782820202607,0.0121268131085026,-4.51749521596869,6.80360677917627e-06,0.000474413661899318
"38","4-Hydroxyphenylpyruvic acid","Timepoint:DietZGN201",-0.0706639273904316,0.0156690067710065,-4.5097898305326,7.05164288775344e-06,0.000478769438168523
"39","Palmitic acid","Timepoint:DietPF",0.0161022761975504,0.00358179198980623,4.4955922184698,7.53151276475083e-06,0.000498238536745055
"40","PE(P-20:4/16:0)","Timepoint:DietMetR",-0.0805576411396178,0.0180468611336077,-4.46380345829779,8.72186040820613e-06,0.000562559996329295
"41","PG(18:1/16:0)","Timepoint:DietMetR",-0.0943282683842186,0.0211990344427506,-4.44964928185566,9.30796091013499e-06,0.000571774741622578
"42","Prostaglandin E2","Timepoint:DietZGN201",-0.0930092915640838,0.0208856609167565,-4.45326063344555,9.15493962768781e-06,0.000571774741622578
"43","C20:4","Timepoint:DietMetR",-0.0614937661446483,0.0138395492097992,-4.44333592174428,9.58136696216942e-06,0.000574882017730165
"44","LysoPE(0:0/18:1(11Z))","Timepoint:DietZGN201",-0.074123235666901,0.0167624889508285,-4.42197073980696,1.0564721191271e-05,0.000619476833488162
"45","L-Gulonolactone","Timepoint:DietZGN201",-0.0533375060718541,0.0121640705818151,-4.38484023198551,1.25073570193597e-05,0.000717088469109957
"46","LysoPE(22:4)","DietMetR",-0.304801285664367,0.0702256934219447,-4.34031008897266,1.52882615907362e-05,0.000857472063132595
"47","p-Hydroxymandelic acid","Timepoint:DietZGN201",-0.0613681781511778,0.0142332381577351,-4.3116104340478,1.73834129310631e-05,0.000954238411960486
"48","DAG(15:1/22:4)","Timepoint:DietMetR",-0.16169004523588,0.0375994928543599,-4.30032516295311,1.82800657059083e-05,0.00098255353169257
"49","C19:3","Timepoint:DietPF",-0.0990098440782266,0.0232740012179248,-4.25409636921274,2.24349004960421e-05,0.00118126618938344
"50","LysoPG(18:0)","Timepoint:DietMetR",-0.2048314769215,0.0485976075375053,-4.21484692972636,2.66546806989132e-05,0.00135211562144786
"51","Ribothymidine","Timepoint:DietZGN1062",-0.0685776254215522,0.0162875069245678,-4.21044336245905,2.71727039978054e-05,0.00135211562144786
"52","5,6-Dihydrouridine","Timepoint:DietZGN1062",-0.0619588514202777,0.0147178470177745,-4.20977683389772,2.72519427578639e-05,0.00135211562144786
"53","C14:0(Myristic acid)","Timepoint:DietMetR",0.0328334005279901,0.00786359689350995,4.17536668939483,3.16550938020556e-05,0.00148491167289643
"54","Cinnamoylglycine","Timepoint:DietPF",-0.0710025518440232,0.0169842930491192,-4.18048320519914,3.09600481065463e-05,0.00148491167289643
"55","Ethyl-3-hydroxybutyrate","Timepoint:Diet40CR",0.27132638644135,0.0651509819649863,4.16457861812685,3.31695309808225e-05,0.00150914519028929
"56","2-Hydroxycaproic acid","Timepoint:Diet40CR",0.271221417670736,0.065144482365446,4.1633828042296,3.33415797854611e-05,0.00150914519028929
"57","C17:1","Timepoint:DietPF",-0.0293018029501843,0.0070830646026901,-4.13688206924665,3.73794376158584e-05,0.00164876558388949
"58","Palmitoyl Serinol","Timepoint:DietZGN201",-0.0574906808171991,0.0139038674291081,-4.13486974831484,3.77043292439846e-05,0.00164876558388949
"59","Cinnamoylglycine","Timepoint:DietZGN201",-0.0792170113954315,0.0192541918288214,-4.11427350987812,4.11875983090172e-05,0.00177106672728774
"60","palmitoleic acid","Timepoint:DietZGN1062",0.0387749517873824,0.00947213666521037,4.09358027210445,4.49937480611183e-05,0.00178590569227208
"61","C16:1","Timepoint:DietZGN1062",0.0387749517873824,0.00947213666521037,4.09358027210445,4.49937480611183e-05,0.00178590569227208
"62","LysoPE(20:0)","Timepoint:DietMetR",-0.100993671325738,0.0246525351342686,-4.09668501741025,4.44021286124964e-05,0.00178590569227208
"63","PE(P-18:0/20:4)","Timepoint:DietMetR",-0.0852244881437608,0.0207634526115839,-4.10454319606818,4.29375579943838e-05,0.00178590569227208
"64","PE(P-38:5)","Timepoint:DietMetR",-0.0838169920356643,0.0204429292133449,-4.10004804893368,4.37696285880863e-05,0.00178590569227208
"65","PG(18:1/18:2)","Timepoint:DietMetR",-0.113488195402091,0.0278874160294993,-4.06951276095439,4.98405030596782e-05,0.00180793712085056
"66","12-Hydroxystearic acid","Timepoint:DietPF",0.0356752200978591,0.00878666480647083,4.06015489194337,5.18555608305974e-05,0.00180793712085056
"67","C20:2","Timepoint:DietPF",-0.0327416127950977,0.00805620179426933,-4.06415003387676,5.09859972578485e-05,0.00180793712085056
"68","Ketoleucine","Timepoint:DietZGN201",-0.0636907549648297,0.0156796291459254,-4.06200646533665,5.14508211788695e-05,0.00180793712085056
"69","2-keto-isocaproate","Timepoint:DietZGN201",-0.0636907549648297,0.0156796291459254,-4.06200646533665,5.14508211788695e-05,0.00180793712085056
"70","2-Methyl-3-ketovaleric acid","Timepoint:DietZGN201",-0.0636907549648297,0.0156796291459254,-4.06200646533665,5.14508211788695e-05,0.00180793712085056
"71","Cortisol","Timepoint:Diet40CR",0.58122259304218,0.143007443585072,4.06428209938892,5.09574900950228e-05,0.00180793712085056
